INSTNM,ZIP,LATITUDE,LONGITUDE,SATVR75
Associated Technical College-Los Angeles,90017-1604,34.055987,-118.27243,NULL
Associated Technical College-San Diego,92101,32.715658,-117.158203,NULL
Azusa Pacific University,91702-7000,34.130865,-117.88795,540
Bakersfield College,93305-1299,35.4108,-118.973491,NULL
Barstow Community College,92311,34.871451,-117.02523,NULL
Bellus Academy-National City,91950,32.676762,-117.090235,NULL
Bethesda University,92801,33.842295,-117.941323,NULL
Biola University,90639-0001,33.904823,-118.017342,620
Brooks Institute,93001,34.33851,-119.295231,NULL
Brownson Technical School,92805,33.819,-117.906409,NULL
Bryan University,90010,34.061406,-118.302882,NULL
Butte College,95965-8399,39.649116,-121.644691,NULL
Phillips Graduate Institute,91311,34.24203,-118.567631,NULL
California Institute of Integral Studies,94103,37.774768,-122.416537,NULL
Cabrillo College,95003,36.9891,-121.927926,NULL
California Baptist University,92504-3297,33.928569,-117.42587,550
California College of the Arts,94107-2247,37.76723,-122.399941,NULL
University of California-Hastings College of Law,94102-4978,37.780718,-122.415395,NULL
California Institute of Technology,91125,34.139275,-118.12574,800
California Lutheran University,91360-2787,34.225551,-118.879467,600
California Polytechnic State University-San Luis Obispo,93407,35.29889,-120.65856,640
Alliant International University-San Diego,92131,32.897056,-117.094398,NULL
California State University-Bakersfield,93311-1099,35.350005,-119.104711,NULL
California State University-Stanislaus,95382-0299,37.52577,-120.852511,NULL
California State University-San Bernardino,92407-2397,34.182987,-117.322508,490
California State Polytechnic University-Pomona,91768,34.054273,-117.819019,580
California State University-Chico,95929-0150,39.728003,-121.846333,550
California State University-Dominguez Hills,90747-0005,33.86524,-118.259316,NULL
California State University-Fresno,93740,36.814477,-119.748258,510
California State University-Fullerton,92831-3599,33.883627,-117.885349,550
California State University-East Bay,94542,37.65707,-122.058073,NULL
California State University-Long Beach,90840-0115,33.782752,-118.1123,570
California State University-Los Angeles,90032,34.066927,-118.168965,480
California State University-Northridge,91330,34.23671,-118.526817,510
California State University-Sacramento,95819-2694,38.55745,-121.42194,520
University of California-Berkeley,94720,37.871969,-122.260423,730
University of California-Davis,95616-8678,38.539895,-121.751958,640
University of California-Irvine,92697,33.648434,-117.841248,600
University of California-Los Angeles,90095-1405,34.068892,-118.443901,710
University of California-Riverside,92521,33.97588,-117.331098,600
University of California-San Diego,92093,32.876598,-117.237793,670
University of California-San Francisco,94143-0244,37.762736,-122.458049,NULL
University of California-Santa Barbara,93106,34.416281,-119.846404,660
University of California-Santa Cruz,95064-1011,36.997258,-122.067993,620
Sofia University,94303,37.430325,-122.10866,NULL
California Beauty School,95354,37.645217,-120.99689,NULL
California Christian College,93727,36.75031,-119.711208,NULL
Le Cordon Bleu College of Culinary Arts-San Francisco,94103,37.765415,-122.402643,NULL
California Hair Design Academy,91941-5055,32.765221,-117.024261,NULL
California Institute of the Arts,91355-2397,34.393337,-118.567303,NULL
The California Maritime Academy,94590,38.069061,-122.231551,NULL
California Western School of Law,92101-3046,32.72194,-117.162597,NULL
Canada College,94061-1099,37.447365,-122.265549,NULL
College of the Canyons,91355-1899,34.403121,-118.569524,NULL
Career Academy of Beauty,92845,33.781018,-118.031697,NULL
Casa Loma College-Van Nuys,91405,34.195438,-118.448335,NULL
CET-San Diego,92102,32.711715,-117.122496,NULL
CET-Sobrato,95110,37.322723,-121.88698,NULL
CET-El Centro,92243,32.790908,-115.549079,NULL
CET-San Bernardino,92408,34.075136,-117.268738,NULL
CET-Watsonville,95076,36.931833,-121.767991,NULL
CET-Salinas,93901,36.671635,-121.652791,NULL
Cerritos College,90650-6298,33.88584,-118.097263,NULL
Cerro Coso Community College,93555-9571,35.567763,-117.667706,NULL
Chabot College,94545,37.642513,-122.106969,NULL
Chaffey College,91737-3002,34.14705,-117.573086,NULL
Chapman University,92866,33.793678,-117.851481,640
Charles R Drew University of Medicine and Science,90059,33.925658,-118.242791,NULL
Concordia University-Irvine,92612-3203,33.6535,-117.81063,560
San Diego Christian College,92071,32.84281,-116.978151,560
Church Divinity School of the Pacific,94709-1211,37.876169,-122.261391,NULL
Citrus College,91741-1899,34.135487,-117.885266,NULL
Citrus Heights Beauty College,95610-1410,38.71307,-121.289531,NULL
City College of San Francisco,94112-1898,37.725953,-122.451155,NULL
Claremont Graduate University,91711-6160,34.103778,-117.712394,NULL
Claremont McKenna College,91711-6400,34.102323,-117.706593,750
Milan Institute-Visalia,93277,36.27164,-119.312151,NULL
Clovis Adult Education,93611,36.836915,-119.69019,NULL
Coastline Community College,92708-2597,33.609771,-117.861844,NULL
Cogswell College,95134,37.413664,-121.940553,NULL
Coleman University,92123-1506,32.821962,-117.136493,NULL
COBA Academy,92866,33.788258,-117.85348,NULL
Western University of Health Sciences,91766-1854,34.058092,-117.747732,NULL
Columbia College,95370,38.030361,-120.387603,NULL
Columbia College-Hollywood,91356-1411,34.179596,-118.538394,NULL
El Camino College-Compton Center,90221-5393,33.876665,-118.209186,NULL
Contra Costa College,94806-3195,37.968623,-122.342386,NULL
Cosumnes River College,95823-5799,38.453836,-121.422971,NULL
Crafton Hills College,92339-1799,34.038513,-117.100826,NULL
Cuesta College,93403-8106,35.329859,-120.741624,NULL
Cuyamaca College,92019,32.743072,-116.941044,NULL
Cypress College,90630-5897,33.827625,-118.023889,NULL
De Anza College,95014,37.319176,-122.045365,NULL
Marinello Schools of Beauty-Hemet,92545,33.746002,-116.999892,NULL
International School of Beauty Inc,92260-2740,33.729555,-116.403928,NULL
Dell'Arte International School of Physical Theatre,95525-0816,40.880871,-123.988878,NULL
College of the Desert,92260,33.732484,-116.38761,NULL
Design Institute of San Diego,92121,32.731022,-117.149808,NULL
Diablo Valley College,94523,37.968035,-122.069861,NULL
Dominican University of California,94901-2298,37.980014,-122.514654,570
Dominican School of Philosophy & Theology,94708-1816,37.881099,-122.264612,NULL
East Los Angeles College,91754-6099,34.039205,-118.148384,NULL
Marinello Schools of Beauty-Santa Clara,95050,37.347964,-121.947773,NULL
El Camino Community College District,90506,33.885586,-118.326623,NULL
Elegance International,90028-6106,34.062216,-118.338332,NULL
Marinello Schools of Beauty-Burbank,91502,34.181902,-118.309749,NULL
Marinello Schools of Beauty-Moreno Valley,92553,33.915981,-117.228072,NULL
Emperor's College of Traditional Oriental Medicine,90403,34.0303,-118.4847,NULL
Empire College,95403-2126,38.467789,-122.728642,NULL
Evergreen Valley College,95135-1598,37.301736,-121.766686,NULL
Fashion Institute of Design & Merchandising-Los Angeles,90015-1421,34.044209,-118.25993,NULL
Fashion Institute of Design & Merchandising-San Francisco,94108-5805,37.786324,-122.406503,NULL
Fashion Institute of Design & Merchandising-Orange County,92614-5610,33.691963,-117.852254,NULL
Feather River Community College District,95971-9124,39.952395,-120.970877,NULL
Federico Beauty Institute,95834,38.64883,-121.497761,NULL
Fielding Graduate University,93105-3538,34.42941,-119.717161,NULL
Five Branches University,95062,36.964133,-121.998478,NULL
Redondo Beach Beauty College,90278-3111,33.872914,-118.372315,NULL
Foothill College,94022,37.361104,-122.12833,NULL
Franciscan School of Theology,92057,33.23023,-117.319616,NULL
Fredrick and Charles Beauty College,95501,40.798811,-124.165778,NULL
Fresno City College,93741,36.767516,-119.795129,NULL
Fresno Pacific University,93702-4709,36.725279,-119.731953,560
Fuller Theological Seminary in California,91182,34.14778,-118.140261,NULL
Fullerton College,92832-2095,33.876794,-117.916986,NULL
Gavilan College,95020,36.973274,-121.568174,NULL
Gemological Institute of America-Carlsbad,92008,33.131313,-117.318765,NULL
Glendale Community College,91208-2894,34.166422,-118.228251,NULL
Glendale Career College,91203,34.1497,-118.254231,NULL
Golden Gate University-San Francisco,94105-2968,37.789208,-122.398785,NULL
Golden West College,92647-2710,33.733775,-118.003036,NULL
Graduate Theological Union,94709,37.87554,-122.261847,NULL
Grossmont College,92020-1799,32.816077,-117.007292,NULL
Salon Success Academy-Riverside,92506,33.94297,-117.391021,NULL
Hartnell College,93901,36.673052,-121.668763,NULL
Harvey Mudd College,91711,34.106137,-117.710594,770
Heald College-Rancho Cordova,95670,38.594382,-121.280086,NULL
Heald College-Fresno,93704,36.822401,-119.795525,NULL
Heald College-San Jose,95035-8008,37.410897,-121.893911,NULL
Heald College-San Francisco,94103,37.782001,-122.404246,NULL
Heald College-Concord,94520-0522,38.018938,-122.030047,NULL
Hilltop Beauty School,94014,37.705545,-122.461674,NULL
Holy Names University,94619-1699,37.802654,-122.18717,480
Pacifica Graduate Institute,93013,34.420464,-119.580264,NULL
Humboldt State University,95521-8299,40.8741,-124.0814,560
Humphreys College-Stockton and Modesto Campuses,95207-3896,38.011051,-121.316401,NULL
Imperial Valley College,92251-0158,32.827563,-115.503903,NULL
Institute for Business and Technology,95051-1303,37.368642,-121.969541,NULL
Interior Designers Institute,92660,33.641393,-117.865722,NULL
Toni & Guy Hairdressing Academy-Santa Monica,90401,34.017466,-118.494898,NULL
Irvine Valley College,92618-0301,33.675079,-117.778575,NULL
ITT Technical Institute-National City,91950,32.66182,-117.106121,NULL
ITT Technical Institute-San Dimas,91773,34.102405,-117.818401,NULL
ITT Technical Institute-Orange,92868,33.77999,-117.896171,NULL
Bellus Academy-El Cajon,92021,32.794827,-116.945728,NULL
John F. Kennedy University,94523-4817,37.881794,-122.183972,NULL
American Jewish University,90077-1519,34.128099,-118.471764,NULL
Reedley College,93654,36.605968,-119.45993,NULL
Life Pacific College,91773-3298,34.089421,-117.830997,530
Argosy University-The Art Institute of California-San Diego,92108-4423,32.778278,-117.155395,NULL
University of La Verne,91750-4401,34.10086,-117.772634,550
Laguna College of Art and Design,92651,33.561448,-117.772564,NULL
Lake Tahoe Community College,96150,38.926864,-119.971631,NULL
Lancaster Beauty School,93534,34.695646,-118.148664,NULL
Laney College,94607,37.796205,-122.262434,NULL
Lassen Community College,96130,40.431327,-120.631169,NULL
Life Chiropractic College West,94545-2800,37.637639,-122.11627,NULL
Lincoln University,94612-2801,37.804788,-122.269745,NULL
Southern California Seminary,92019-1108,32.803259,-116.900531,NULL
La Sierra University,92515-8247,33.908834,-117.497071,520
Loma Linda University,92350,34.050975,-117.261086,NULL
Long Beach City College,90808-1706,33.831741,-118.135819,NULL
Southern California University of Health Sciences,90604,33.924638,-117.985447,NULL
Los Angeles Harbor College,90744-2397,33.784201,-118.28186,NULL
Los Angeles Pierce College,91371-0002,34.184184,-118.577194,NULL
Los Angeles Southwest College,90047-4899,33.929586,-118.304674,NULL
Los Angeles Trade Technical College,90015-4181,34.032623,-118.269113,NULL
Los Angeles Valley College,91401-4096,34.176406,-118.421446,NULL
The Master's College and Seminary,91321-1200,34.38214,-118.517422,610
Los Angeles City College,90029,34.087301,-118.292169,NULL
Los Angeles County College of Nursing and Allied Health,90033-1084,34.061605,-118.211418,NULL
Los Angeles Mission College,91342-3200,34.314944,-118.419087,NULL
Los Medanos College,94565,38.005552,-121.861122,NULL
Argosy University-The Art Institute of California-San Francisco,94102-4908,37.803958,-122.417185,NULL
Loyola Marymount University,90045-2659,33.970633,-118.415655,640
Lu Ross Academy,93001-2729,34.278034,-119.293952,NULL
Manchester Beauty College,93726,36.792868,-119.79116,NULL
Tulare Beauty College,93274,36.204102,-119.367947,NULL
Lyles Fresno College of Beauty,93710,36.836251,-119.773747,NULL
Lytles Redwood Empire Beauty College Inc,95403,38.508581,-122.758546,NULL
MTI Business College Inc,95207-4349,38.007318,-121.308527,NULL
MTI College,95841-9817,38.661377,-121.342568,NULL
Brightwood College-Sacramento,95821,38.644462,-121.380453,NULL
Brightwood College-San Diego,92123,32.821707,-117.133017,NULL
Brightwood College-Vista,92083-7736,33.17244,-117.220816,NULL
College of Marin,94904-2590,37.955014,-122.549936,NULL
Marinello Schools of Beauty-Los Angeles,90023,34.027512,-118.219865,NULL
Marymount California University,90275-6299,33.73463,-118.333404,NULL
Mendocino College,95482,39.19119,-123.22903,NULL
Menlo College,94027-4301,37.452906,-122.181444,535
Merced College,95348-2898,37.335348,-120.476726,NULL
Merritt College,94619-3196,37.789088,-122.167335,NULL
Mills College,94613,37.782639,-122.18789,640
MiraCosta College,92056-3899,33.191231,-117.302283,NULL
Marinello Schools of Beauty-San Francisco,94103,37.78123,-122.410821,NULL
Mission College,95054-1897,37.391323,-121.982174,NULL
Modern Beauty Academy,93030,34.195384,-119.181423,NULL
Brightwood College-North Hollywood,91606-3231,34.182673,-118.396131,NULL
Modesto Junior College,95350-5800,37.652042,-121.009723,NULL
Moler Barber College,94609-2419,37.826826,-122.265094,NULL
Middlebury Institute of International Studies at Monterey,93940,36.599827,-121.896813,NULL
Monterey Peninsula College,93940-4799,36.590826,-121.885774,NULL
Moorpark College,93021-1695,34.300018,-118.836624,NULL
Mt San Antonio College,91789-1399,34.043786,-117.8437,NULL
Mount Saint Mary's University,90049-1599,34.082112,-118.480471,510
Mt San Jacinto Community College District,92583-2399,33.807364,-116.970063,NULL
Mueller College,92108-3002,32.76557,-117.163811,NULL
Musicians Institute,90028,34.101527,-118.33783,NULL
Napa Valley College,94558-6236,38.27254,-122.272565,NULL
Everest College-Reseda,91335-4631,34.200824,-118.526677,NULL
Everest College-Gardena,90247,33.893072,-118.292896,NULL
Everest College-Alhambra,91803,34.080181,-118.148684,NULL
Everest College-San Bernardino,92408,34.059754,-117.28222,NULL
The National Hispanic University,95127-3823,37.359057,-121.815921,NULL
National Holistic Institute,94608-2008,37.841898,-122.287672,NULL
National University,92037-1011,32.909469,-117.244243,NULL
Newschool of Architecture and Design,92101,32.71331,-117.153305,NULL
Newberry School of Beauty,91344-7401,34.25748,-118.499469,NULL
North Adrian's College of Beauty Inc,95350-2381,37.677778,-120.992753,NULL
North-West College-Pomona,91768,34.06203,-117.751861,NULL
North-West College-West Covina,91790,34.072071,-117.949583,NULL
North-West College-Pasadena,91101,34.146907,-118.139266,NULL
Notre Dame de Namur University,94002-1908,37.517501,-122.284618,520
Occidental College,90041-3392,34.126224,-118.210783,690
Oceanside College of Beauty,92054-5356,33.178889,-117.365276,NULL
Ohlone College,94539-0390,37.527956,-121.914597,NULL
Orange Coast College,92626,33.670171,-117.911401,NULL
Otis College of Art and Design,90045-3505,33.956607,-118.416615,560
Oxnard College,93033-6699,34.164899,-119.15549,NULL
Hope International University,92831-3199,33.87616,-117.88573,483
Concorde Career College-San Diego,92113-1964,32.70406,-117.10187,NULL
Palo Alto University,94304-1337,37.383251,-122.186022,NULL
Pacific Lutheran Theological Seminary,94708-1597,37.898172,-122.260201,NULL
Pacific Oaks College,91103,34.153073,-118.151573,NULL
Pacific School of Religion,94709,37.876599,-122.263331,NULL
Pacific States University,90010,34.0607,-118.299841,NULL
Pacific Union College,94508-9707,38.57409,-122.449639,550
University of the Pacific,95211-0197,37.980624,-121.307296,630
Palo Verde College,92225,33.661538,-114.651698,NULL
Palomar College,92069-1487,33.15019,-117.181718,NULL
Paris Beauty College,94520,37.972204,-122.043458,NULL
Pasadena City College,91106-2003,34.144552,-118.118196,NULL
Pepperdine University,90263,34.041912,-118.707677,650
Pitzer College,91711-6101,34.103408,-117.705939,NULL
